TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2005,5,28,0,30,13XX W 10TH AVE,Fairview,505403,5397845
Theft from Vehicle,2017,12,2,0,30,13XX W 10TH AVE,Fairview,491863,5051809
Break and Enter Residential/Other,2007,6,6,0,30,11XX BROUGHTON ST,West End,492043,5018319
Theft from Vehicle,2003,6,12,0,30,13XX W 12TH AVE,Fairview,493347,5271986
Theft from Vehicle,2016,10,7,0,30,13XX ROBSON ST,West End,499393,5127861
Break and Enter Residential/Other,2003,1,30,0,30,11XX BARCLAY ST,West End,507856,5359422
Vehicle Collision or Pedestrian Struck (with Injury),2006,8,20,0,30,9XX GRANVILLE ST,Central Business District,495580,5384799
Theft of Vehicle,2008,5,25,0,30,DUNSMUIR ST / RICHARDS ST,Central Business District,502198,5023347
Theft of Vehicle,2005,9,10,0,30,DUNSMUIR ST / HAMILTON ST,Central Business District,504864,5242063
Theft of Vehicle,2009,2,5,0,30,E 27TH AVE / MAIN ST,Riley Park,505011,5227618
Break and Enter Commercial,2016,8,24,0,30,20XX MAIN ST,Mount Pleasant,506204,5156051
Break and Enter Commercial,2012,4,10,0,30,2XX E GEORGIA ST,Strathcona,493536,5003164
Theft of Vehicle,2017,8,30,0,30,E 15TH AVE / SOPHIA ST,Mount Pleasant,503072,5302092
Break and Enter Residential/Other,2005,8,16,0,30,11XX E PENDER ST,Strathcona,494950,5421652
Break and Enter Residential/Other,2019,8,13,0,30,11XX E GEORGIA ST,Strathcona,500026,5329491
Theft of Vehicle,2014,8,1,0,30,E 26TH AVE / KNIGHT ST,Kensington-Cedar Cottage,499595,5401948
Theft from Vehicle,2016,8,5,0,30,13XX SALSBURY DR,Grandview-Woodland,501361,5162504
Theft of Vehicle,2005,5,27,0,30,E 12TH AVE / VICTORIA DR,Kensington-Cedar Cottage,507499,5183094
Break and Enter Commercial,2014,4,3,0,29,2XX E GEORGIA ST,Strathcona,492260,5323660
Vehicle Collision or Pedestrian Struck (with Fatality),2010,1,10,0,29,E 49TH AVE / KERR ST,Killarney,497983,5373963
Mischief,2012,8,26,0,28,19XX W 41ST AVE,Kerrisdale,492042,5369940
Vehicle Collision or Pedestrian Struck (with Fatality),2011,7,15,0,28,2XX BLOCK E CORDOVA ST,Strathcona,509766,5189137
Break and Enter Residential/Other,2009,10,29,0,28,11XX E 27TH AVE,Kensington-Cedar Cottage,490330,5157981
Vehicle Collision or Pedestrian Struck (with Injury),2014,12,28,0,27,ABBOTT ST / W PENDER ST,Central Business District,498699,5327458
Vehicle Collision or Pedestrian Struck (with Fatality),2012,11,28,0,27,KINGSWAY AVE / JOYCE ST,Renfrew-Collingwood,490031,5199380
Break and Enter Commercial,2011,5,16,0,26,10XX BROUGHTON ST,West End,494149,5306660
Break and Enter Residential/Other,2004,10,26,0,25,11XX BEACH AVE,West End,493611,5454372
Vehicle Collision or Pedestrian Struck (with Injury),2013,2,10,0,23,ALBERNI ST / BURRARD ST,West End,494138,5064327
Theft of Bicycle,2012,4,5,0,22,E HASTINGS ST / GLEN DR,Strathcona,491724,5153179
Vehicle Collision or Pedestrian Struck (with Fatality),2011,3,31,0,20,SW MARINE DR / KULLAHUN DR,Musqueam,495259,5348603
Mischief,2012,8,26,0,20,19XX W 41ST AVE,Kerrisdale,493019,5311642
Theft from Vehicle,2004,11,10,0,20,13XX SW MARINE DR,Marpole,491222,5263899
Break and Enter Residential/Other,2014,7,12,0,20,11XX DEVONSHIRE CRES,Shaughnessy,496361,5073385
Break and Enter Commercial,2012,6,29,0,20,14XX E 2ND AVE,Grandview-Woodland,507712,5163629
Vehicle Collision or Pedestrian Struck (with Fatality),2013,5,29,0,20,E 1ST AVE / NOOTKA ST,Hastings-Sunrise,509705,5271419
Vehicle Collision or Pedestrian Struck (with Injury),2007,6,8,0,17,ABBOTT ST / W HASTINGS ST,Central Business District,501858,5290975
Break and Enter Commercial,2011,3,22,0,16,14XX E KING EDWARD AVE,Kensington-Cedar Cottage,496291,5112565
Break and Enter Commercial,2004,3,15,0,16,20XX E HASTINGS ST,Grandview-Woodland,505675,5064669
Mischief,2014,5,10,0,15,19XX W 41ST AVE,Kerrisdale,507710,5108485
Mischief,2008,6,2,0,15,19XX W 3RD AVE,Kitsilano,508590,5062647
Vehicle Collision or Pedestrian Struck (with Fatality),2004,7,8,0,15,14XX BLOCK SW MARINE DR,Marpole,506170,5250731
Other Theft,2009,9,17,0,15,12XX SEYMOUR ST,Central Business District,502714,5415249
Break and Enter Commercial,2007,3,8,0,15,66XX FRASER ST,Sunset,494362,5375832
Break and Enter Residential/Other,2010,11,15,0,15,11XX E 26TH AVE,Kensington-Cedar Cottage,491730,5195841
Theft from Vehicle,2003,7,30,0,15,13XX SE MARINE DR,Sunset,497241,5006037
Break and Enter Commercial,2013,6,12,0,15,14XX E HASTINGS ST,Grandview-Woodland,490515,5078429
Break and Enter Commercial,2011,7,17,0,15,6X N GARDEN DR,Grandview-Woodland,496352,5353199
Other Theft,2014,11,1,0,14,13XX ROBSON ST,West End,496280,5026451
Vehicle Collision or Pedestrian Struck (with Injury),2019,6,22,0,14,9XX W GEORGIA ST,Central Business District,492567,5111396
Vehicle Collision or Pedestrian Struck (with Fatality),2006,6,11,0,12,8XX BLOCK HOWE ST,Central Business District,510814,5281516
Break and Enter Residential/Other,2007,11,24,0,11,11XX BARCLAY ST,West End,502525,5016749
Break and Enter Commercial,2007,9,12,0,10,20XX W 42ND AVE,Kerrisdale,502802,5256248
Mischief,2012,3,14,0,8,10XX BARCLAY ST,West End,509765,5421029
Vehicle Collision or Pedestrian Struck (with Fatality),2005,8,13,0,8,6XX BLOCK ROBSON ST,Central Business District,500416,5234042
Vehicle Collision or Pedestrian Struck (with Injury),2004,7,29,0,8,8XX E CORDOVA ST,Strathcona,492085,5145664
Mischief,2013,8,15,0,7,19XX W 37TH AVE,Shaughnessy,493216,5187465
Break and Enter Commercial,2008,12,18,0,7,2XX E BROADWAY AVE,Mount Pleasant,503903,5236065
Mischief,2006,1,3,0,6,10XX BEACH AVE,Central Business District,502142,5018285
Mischief,2007,8,19,0,5,10XX BURNABY ST,West End,499829,5164576
Other Theft,2016,6,14,0,5,13XX ROBSON ST,West End,495814,5142264
Theft of Vehicle,2007,10,28,0,5,E 18TH AVE / QUEBEC PL,Riley Park,495212,5181342
Theft of Vehicle,2006,5,9,0,5,E 15TH AVE / SOPHIA ST,Mount Pleasant,493105,5230940
Other Theft,2014,10,1,0,4,12XX THURLOW ST,West End,498928,5421943
Theft from Vehicle,2008,5,7,0,4,13XX ROBSON ST,West End,499471,5182227
Theft of Vehicle,2003,7,14,0,4,E 10TH AVE / MAIN ST,Mount Pleasant,502494,5397505
Other Theft,2003,6,22,0,3,12XX GRANVILLE ST,Central Business District,500308,5024381
Other Theft,2009,9,24,0,3,12XX GRANVILLE ST,Central Business District,491326,5100783
Other Theft,2015,4,14,0,3,12XX GRANVILLE ST,Central Business District,499380,5252118
Other Theft,2012,3,2,0,3,12XX SEYMOUR ST,Central Business District,507653,5127587
Mischief,2008,2,8,0,2,10XX BURNABY ST,West End,503162,5305146
Other Theft,2011,1,18,0,2,12XX SEYMOUR ST,Central Business District,500004,5442420
Mischief,2006,8,6,0,2,10XX ALBERNI ST,West End,507795,5382760
Break and Enter Commercial,2015,1,16,0,1,20XX TRAFALGAR ST,Kitsilano,502502,5327026
Break and Enter Commercial,2006,8,26,0,1,20XX W 41ST AVE,Kerrisdale,506373,5303325
Break and Enter Commercial,2008,4,21,0,1,20XX W 12TH AVE,Kitsilano,507324,5258863
Mischief,2012,5,2,0,1,19XX W 49TH AVE,Kerrisdale,508931,5060457
Break and Enter Commercial,2014,11,3,0,1,20XX COMOX ST,West End,490988,5339123
Break and Enter Commercial,2014,9,17,0,1,14XX CREEKSIDE DR,Fairview,510758,5216452
Theft from Vehicle,2016,1,13,0,1,13XX W 37TH AVE,Shaughnessy,492804,5389640
Theft from Vehicle,2015,6,7,0,1,13XX W 14TH AVE,Fairview,510377,5394421
Theft from Vehicle,2004,2,22,0,1,13XX SW MARINE DR,Marpole,504608,5230846
Theft from Vehicle,2006,4,26,0,1,13XX SW MARINE DR,Marpole,509575,5131502
Theft from Vehicle,2014,8,7,0,1,13XX W 4TH AVE,Fairview,496972,5013752
Theft from Vehicle,2003,8,17,0,1,13XX SW MARINE DR,Marpole,493925,5037542
Break and Enter Commercial,2010,10,27,0,1,10XX BEACH AVE,Central Business District,503246,5424264
Theft from Vehicle,2014,11,29,0,1,13XX THURLOW ST,West End,499785,5220677
Break and Enter Residential/Other,2011,3,20,0,1,1155E THE CASTINGS ST,Fairview,499090,5047323
Other Theft,2003,1,11,0,1,12XX GRANVILLE ST,Central Business District,509562,5301630
Mischief,2018,12,23,0,1,10XX BURRARD ST,West End,508709,5344174
Mischief,2015,6,28,0,1,10XX BURRARD ST,Central Business District,507155,5317786
Break and Enter Commercial,2016,7,13,0,1,10XX BARCLAY ST,West End,502057,5237706
Break and Enter Commercial,2007,5,15,0,1,10XX ALBERNI ST,West End,500751,5003811
Break and Enter Commercial,2004,1,24,0,1,10XX ALBERNI ST,West End,491018,5337761
Mischief,2004,1,24,0,1,10XX ALBERNI ST,West End,509850,5292996
Break and Enter Commercial,2004,1,24,0,1,10XX ALBERNI ST,West End,504285,5026571
Mischief,2004,1,24,0,1,10XX ALBERNI ST,West End,499761,5227574
Vehicle Collision or Pedestrian Struck (with Injury),2012,7,2,0,1,9XX BLOCK W GEORGIA ST,Central Business District,496859,5254667
Break and Enter Commercial,2018,10,20,0,1,6X SMITHE ST,Central Business District,504786,5455332
Break and Enter Commercial,2012,12,31,0,1,67XX ALBERTA ST,Oakridge,504524,5155720
Break and Enter Commercial,2007,5,27,0,1,2XX E CORDOVA ST,Strathcona,503646,5093606
Break and Enter Residential/Other,2005,8,8,0,1,11XX E PENDER ST,Strathcona,492316,5437115
Theft from Vehicle,2017,11,12,0,1,13XX SALSBURY DR,Grandview-Woodland,495427,5296388
Homicide,2018,12,22,0,0,OFFSET TO PROTECT PRIVACY,,498587,5396860
Homicide,2017,2,1,0,0,OFFSET TO PROTECT PRIVACY,,494208,5317145
Homicide,2017,10,13,0,0,OFFSET TO PROTECT PRIVACY,,505593,5178877
Homicide,2003,8,27,0,0,OFFSET TO PROTECT PRIVACY,,508474,5064471
Homicide,2017,7,9,0,0,OFFSET TO PROTECT PRIVACY,,491808,5231602
Homicide,2003,5,16,0,0,OFFSET TO PROTECT PRIVACY,,510849,5228869
Homicide,2016,9,28,0,0,OFFSET TO PROTECT PRIVACY,,492807,5053187
Homicide,2004,1,6,0,0,OFFSET TO PROTECT PRIVACY,,503956,5234740
Homicide,2005,6,20,0,0,OFFSET TO PROTECT PRIVACY,,491905,5151453
Homicide,2008,5,7,0,0,OFFSET TO PROTECT PRIVACY,,503458,5257376
Homicide,2007,8,15,0,0,OFFSET TO PROTECT PRIVACY,,497387,5162066
Homicide,2015,8,11,0,0,OFFSET TO PROTECT PRIVACY,,491574,5044518
Homicide,2004,9,7,0,0,OFFSET TO PROTECT PRIVACY,,504725,5336649
Homicide,2017,12,20,0,0,OFFSET TO PROTECT PRIVACY,,492826,5151227
Homicide,2008,8,24,0,0,OFFSET TO PROTECT PRIVACY,,509745,5348116
Homicide,2019,9,10,0,0,OFFSET TO PROTECT PRIVACY,,503324,5246959
Homicide,2014,4,24,0,0,OFFSET TO PROTECT PRIVACY,,496687,5098002
Homicide,2010,6,1,0,0,OFFSET TO PROTECT PRIVACY,,507591,5288280
Homicide,2018,7,28,0,0,OFFSET TO PROTECT PRIVACY,,492232,5401462
Homicide,2016,8,11,0,0,OFFSET TO PROTECT PRIVACY,,490838,5190521
Homicide,2009,2,1,0,0,OFFSET TO PROTECT PRIVACY,,509657,5443812
Homicide,2012,1,17,0,0,OFFSET TO PROTECT PRIVACY,,496624,5282972
Homicide,2011,2,17,0,0,OFFSET TO PROTECT PRIVACY,,499348,5204530
Homicide,2009,1,11,0,0,OFFSET TO PROTECT PRIVACY,,507401,5323213
Homicide,2018,1,27,0,0,OFFSET TO PROTECT PRIVACY,,506239,5020184
Homicide,2015,3,1,0,0,OFFSET TO PROTECT PRIVACY,,502414,5235852
Homicide,2014,2,9,0,0,OFFSET TO PROTECT PRIVACY,,492302,5158516
Homicide,2004,2,23,0,0,OFFSET TO PROTECT PRIVACY,,505434,5082524
Homicide,2005,11,11,0,0,OFFSET TO PROTECT PRIVACY,,496502,5224297
Homicide,2003,11,19,0,0,OFFSET TO PROTECT PRIVACY,,506978,5300510
Homicide,2014,3,10,0,0,OFFSET TO PROTECT PRIVACY,,490853,5020674
Homicide,2006,5,5,0,0,OFFSET TO PROTECT PRIVACY,,503419,5010519
Homicide,2018,4,26,0,0,OFFSET TO PROTECT PRIVACY,,493752,5434766
Homicide,2008,1,19,0,0,OFFSET TO PROTECT PRIVACY,,490859,5430849
Homicide,2004,7,24,0,0,OFFSET TO PROTECT PRIVACY,,491875,5011073
Homicide,2017,3,4,0,0,OFFSET TO PROTECT PRIVACY,,504118,5270745
Homicide,2004,9,15,0,0,OFFSET TO PROTECT PRIVACY,,491843,5177735
Homicide,2009,6,11,0,0,OFFSET TO PROTECT PRIVACY,,496766,5365358
Homicide,2019,1,9,0,0,OFFSET TO PROTECT PRIVACY,,508375,5234809
Homicide,2016,11,1,0,0,OFFSET TO PROTECT PRIVACY,,497463,5010477
Homicide,2018,1,11,0,0,OFFSET TO PROTECT PRIVACY,,494816,5300272
Homicide,2015,8,18,0,0,OFFSET TO PROTECT PRIVACY,,508678,5140849
Homicide,2006,2,13,0,0,OFFSET TO PROTECT PRIVACY,,497132,5267595
Homicide,2019,11,4,0,0,OFFSET TO PROTECT PRIVACY,,507896,5056573
Homicide,2018,6,23,0,0,OFFSET TO PROTECT PRIVACY,,510013,5341367
Homicide,2005,12,3,0,0,OFFSET TO PROTECT PRIVACY,,491472,5267043
Homicide,2004,8,27,0,0,OFFSET TO PROTECT PRIVACY,,491741,5238680
Homicide,2006,8,13,0,0,OFFSET TO PROTECT PRIVACY,,500811,5134804
Homicide,2011,3,30,0,0,OFFSET TO PROTECT PRIVACY,,497072,5186199
Homicide,2015,3,14,0,0,OFFSET TO PROTECT PRIVACY,,495967,5424348
Homicide,2009,1,8,0,0,OFFSET TO PROTECT PRIVACY,,493684,5009063
Homicide,2003,8,16,0,0,OFFSET TO PROTECT PRIVACY,,507401,5409699
Homicide,2004,8,28,0,0,OFFSET TO PROTECT PRIVACY,,504645,5216742
Homicide,2018,6,29,0,0,OFFSET TO PROTECT PRIVACY,,510781,5278656
Homicide,2004,9,25,0,0,OFFSET TO PROTECT PRIVACY,,495843,5341436
Homicide,2007,3,24,0,0,OFFSET TO PROTECT PRIVACY,,509104,5107636
Homicide,2020,1,19,0,0,OFFSET TO PROTECT PRIVACY,,496271,5212585
Homicide,2011,10,15,0,0,OFFSET TO PROTECT PRIVACY,,495983,5144415
Homicide,2003,5,20,0,0,OFFSET TO PROTECT PRIVACY,,493564,5440545
Homicide,2015,7,17,0,0,OFFSET TO PROTECT PRIVACY,,504696,5018361
Homicide,2007,5,19,0,0,OFFSET TO PROTECT PRIVACY,,504637,5096195
Homicide,2012,3,19,0,0,OFFSET TO PROTECT PRIVACY,,502067,5180668
Homicide,2005,10,8,0,0,OFFSET TO PROTECT PRIVACY,,492982,5092223
Homicide,2004,1,3,0,0,OFFSET TO PROTECT PRIVACY,,498453,5125550
Homicide,2011,6,12,0,0,OFFSET TO PROTECT PRIVACY,,504593,5019724
Homicide,2015,8,8,0,0,OFFSET TO PROTECT PRIVACY,,497861,5094709
Homicide,2019,11,28,0,0,OFFSET TO PROTECT PRIVACY,,491880,5027506
Homicide,2011,4,11,0,0,OFFSET TO PROTECT PRIVACY,,500291,5304960
Homicide,2003,12,9,0,0,OFFSET TO PROTECT PRIVACY,,508982,5038392
Homicide,2008,2,15,0,0,OFFSET TO PROTECT PRIVACY,,498093,5246490
Homicide,2007,6,13,0,0,OFFSET TO PROTECT PRIVACY,,504775,5039835
Homicide,2015,11,6,0,0,OFFSET TO PROTECT PRIVACY,,509454,5319785
Homicide,2011,3,11,0,0,OFFSET TO PROTECT PRIVACY,,492497,5120439
Homicide,2015,2,11,0,0,OFFSET TO PROTECT PRIVACY,,497938,5163395
Homicide,2007,2,11,0,0,OFFSET TO PROTECT PRIVACY,,497241,5073360
Homicide,2017,1,27,0,0,OFFSET TO PROTECT PRIVACY,,492635,5015340
Homicide,2005,8,7,0,0,OFFSET TO PROTECT PRIVACY,,509966,5328944
Homicide,2017,3,14,0,0,OFFSET TO PROTECT PRIVACY,,502722,5360134
Homicide,2006,11,11,0,0,OFFSET TO PROTECT PRIVACY,,507215,5133174
Homicide,2013,3,1,0,0,OFFSET TO PROTECT PRIVACY,,495899,5063278
Homicide,2016,3,20,0,0,OFFSET TO PROTECT PRIVACY,,494141,5302935
Homicide,2006,3,5,0,0,OFFSET TO PROTECT PRIVACY,,509832,5233393
Homicide,2007,9,14,0,0,OFFSET TO PROTECT PRIVACY,,507658,5294590
Homicide,2006,4,2,0,0,OFFSET TO PROTECT PRIVACY,,499091,5378136
Homicide,2019,3,15,0,0,OFFSET TO PROTECT PRIVACY,,504675,5403810
Homicide,2007,8,11,0,0,OFFSET TO PROTECT PRIVACY,,492269,5059708
Homicide,2004,4,28,0,0,OFFSET TO PROTECT PRIVACY,,506747,5025594
Homicide,2005,5,26,0,0,OFFSET TO PROTECT PRIVACY,,505289,5144223
Homicide,2017,6,27,0,0,OFFSET TO PROTECT PRIVACY,,496280,5163051
Homicide,2006,10,26,0,0,OFFSET TO PROTECT PRIVACY,,510141,5152057
Homicide,2019,1,1,0,0,OFFSET TO PROTECT PRIVACY,,496419,5018560
Homicide,2019,10,13,0,0,OFFSET TO PROTECT PRIVACY,,507930,5380906
Homicide,2005,1,28,0,0,OFFSET TO PROTECT PRIVACY,,508707,5296297
Homicide,2005,4,4,0,0,OFFSET TO PROTECT PRIVACY,,490300,5235776
Homicide,2014,4,15,0,0,OFFSET TO PROTECT PRIVACY,,507222,5003954
Homicide,2019,4,1,0,0,OFFSET TO PROTECT PRIVACY,,495515,5168361
Homicide,2011,6,1,0,0,OFFSET TO PROTECT PRIVACY,,493234,5123125
Homicide,2020,1,2,0,0,OFFSET TO PROTECT PRIVACY,,500829,5301968
Homicide,2018,2,6,0,0,OFFSET TO PROTECT PRIVACY,,498946,5059509
Homicide,2016,5,11,0,0,OFFSET TO PROTECT PRIVACY,,504283,5394408
Homicide,2017,8,28,0,0,OFFSET TO PROTECT PRIVACY,,509100,5353973
Homicide,2015,9,18,0,0,OFFSET TO PROTECT PRIVACY,,509129,5304211
Homicide,2006,3,2,0,0,OFFSET TO PROTECT PRIVACY,,496886,5364067
Homicide,2004,5,2,0,0,OFFSET TO PROTECT PRIVACY,,490154,5012891
Homicide,2011,7,15,0,0,OFFSET TO PROTECT PRIVACY,,510474,5398643
Homicide,2006,3,26,0,0,OFFSET TO PROTECT PRIVACY,,496431,5428517
Homicide,2003,9,29,0,0,OFFSET TO PROTECT PRIVACY,,501476,5153466
Homicide,2017,4,2,0,0,OFFSET TO PROTECT PRIVACY,,494143,5363740
Homicide,2005,9,9,0,0,OFFSET TO PROTECT PRIVACY,,504293,5411521
Homicide,2008,8,30,0,0,OFFSET TO PROTECT PRIVACY,,503092,5236379
Homicide,2007,2,27,0,0,OFFSET TO PROTECT PRIVACY,,500572,5294357
Homicide,2017,10,12,0,0,OFFSET TO PROTECT PRIVACY,,499594,5069396
Homicide,2013,2,9,0,0,OFFSET TO PROTECT PRIVACY,,506324,5458675
Homicide,2011,9,17,0,0,OFFSET TO PROTECT PRIVACY,,508817,5377534
Homicide,2005,11,29,0,0,OFFSET TO PROTECT PRIVACY,,509840,5378765
Homicide,2004,11,30,0,0,OFFSET TO PROTECT PRIVACY,,493042,5272485
Homicide,2004,4,7,0,0,OFFSET TO PROTECT PRIVACY,,499155,5179962
Homicide,2018,7,25,0,0,OFFSET TO PROTECT PRIVACY,,506679,5116620
Homicide,2015,1,6,0,0,OFFSET TO PROTECT PRIVACY,,500599,5329242
Homicide,2008,2,8,0,0,OFFSET TO PROTECT PRIVACY,,490486,5135579
Homicide,2009,4,2,0,0,OFFSET TO PROTECT PRIVACY,,499752,5209023
Homicide,2010,3,29,0,0,OFFSET TO PROTECT PRIVACY,,507967,5184058
Homicide,2004,3,6,0,0,OFFSET TO PROTECT PRIVACY,,497488,5132106
Homicide,2005,6,29,0,0,OFFSET TO PROTECT PRIVACY,,490417,5442373
Homicide,2009,3,3,0,0,OFFSET TO PROTECT PRIVACY,,509287,5083715
Homicide,2005,7,24,0,0,OFFSET TO PROTECT PRIVACY,,497939,5211416
Homicide,2004,4,26,0,0,OFFSET TO PROTECT PRIVACY,,496158,5052948
Homicide,2006,5,3,0,0,OFFSET TO PROTECT PRIVACY,,510429,5078026
Homicide,2012,10,31,0,0,OFFSET TO PROTECT PRIVACY,,491354,5305765
Homicide,2018,8,10,0,0,OFFSET TO PROTECT PRIVACY,,496579,5103227
Homicide,2007,12,15,0,0,OFFSET TO PROTECT PRIVACY,,495755,5451503
